sr_no,date,name,industry,sub_vertical,city,investor,investment type,amount_usd,remarks,year,month,day
1425,4/8/16,lehlehsports,OTHERS,Sports Arena discovery,New Delhi,ANGLIAN OMEGA NETWORK,Seed Funding,,,2016,4,8
1426,5/8/16,Tricog,HEALTHCARE,Healthcare Analytics Platform,Bangalore,"INVENTUS CAPITAL PARTNERS, BLUME VENTURES,OTHERS",Private Equity,,,2016,5,8
1427,6/8/16,VST Travels,TECHNOLOGY,Travel Ticket Booking Software,Kerala,PROMATUS GROUP,Seed Funding,27000,,2016,6,8
1428,8/8/16,AdPushUp,TECHNOLOGY,Ad optimization Platform,New Delhi,"GENIEE, INC, PURVI CAPITAL",Private Equity,,,2016,8,8
1429,8/8/16,Wefly Indoor Skydiving,OTHERS,Indoor Skydiving Sports Provider,Mumbai,SWASTIKA COMPANY LTD.,Seed Funding,40000,,2016,8,8
1430,8/8/16,Mojarto,ECOMMERCE,"Original Art, Digital Prints etailer",Gurgaon,UNDISCLOSED INVESTORS,Seed Funding,445000,,2016,8,8
1431,8/8/16,Zipgrid,CONSUMER INTERNET,Community services platform,Mumbai,1CROWD (THROUGH CROWD FUNDING),Seed Funding,200000,,2016,8,8
1432,9/8/16,MobiDent,HEALTHCARE,Dental Protection Solution,Bangalore,"CENTRE FOR INNOVATION INCUBATION,ENTREPRENEURSHIP (CIIE)",Seed Funding,,,2016,9,8
1433,9/8/16,Zeolr/RespirON,TECHNOLOGY,Healthcare related IoT platform,New Delhi,"CENTRE FOR INNOVATION INCUBATION,ENTREPRENEURSHIP (CIIE)",Seed Funding,,,2016,9,8
1434,10/8/16,Vebbler,CONSUMER INTERNET,Photo Sharing Mobile App,Bangalore,"ANUPAM MITTAL, SHARAD SHARMA,14 OTHERS",Seed Funding,500000,,2016,10,8
1435,10/8/16,Bombay Shaving Company,ECOMMERCE,Mens Grooming Product etailer,New Delhi,"NOSHIR KAKA, SUBRAMANIAN RAMADORAI, KIRAN DESHPANDE, PANKAJ GUPTA, RAVI NIGAM,OTHERS",Seed Funding,600000,,2016,10,8
1436,11/8/16,Travelyaari,CONSUMER INTERNET,Online ticket booking platform,Bangalore,"GUJARAT VENTURE FINANCE LIMITED (GVFL), BENNETT COLEMAN,CO. LTD",Private Equity,7000000,,2016,11,8
1437,11/8/16,91SpringBoard,CONSUMER INTERNET,"Co-Working Spaces Discovery,Booking platform",Mumbai,"KHATTAR HOLDINGS, THIRTYTHREE INVESTMENTS, SOUMITRA SHARMA, DEEPAK SHARMA, SUMIT DAYAL,OTHERS",Private Equity,,,2016,11,8
1438,11/8/16,Genextstudents,CONSUMER INTERNET,Online Tutoring Service provider,Mumbai,1CROWD (THROUGH CROWDFUNDING),Seed Funding,209000,,2016,11,8
1439,11/8/16,Zenoti,TECHNOLOGY,Cloud Based Software Solutions Provider,Hyderabad,"NORWEST VENTURE PARTNERS, ACCEL INDIA",Private Equity,15000000,,2016,11,8
1440,12/8/16,Crofarm,TECHNOLOGY,Agri-Tech supply chain Solution provider,Gurgaon,"MUKUL SINGHAL, ROHIT JAIN, HIMANSHU AGGRAWAL, SUNIL GOYAL ASHISH GUPTA,",Private Equity,1500000,,2016,12,8
1441,12/8/16,Faircent.com,CONSUMER INTERNET,peer-to-peer lending platform,Gurgaon,BRAND CAPITAL,Private Equity,1500000,,2016,12,8
1442,12/8/16,Innovaccer,TECHNOLOGY,Integrated Enterprise Analytics Platform,Noida,WESTBRIDGE CAPITAL PARTNERS,Private Equity,15600000,,2016,12,8
1443,12/8/16,Cuberoot,TECHNOLOGY,"Data Analytics,Audience Management Platform",Gurgaon,UNDISCLOSED INVESTORS,Seed Funding,500000,,2016,12,8
1444,12/8/16,Funcastic,CONSUMER INTERNET,B2C vernacular podcast aggregator platform,New Delhi,"HT MEDIA LTD, NORTH BASE MEDIA",Seed Funding,,,2016,12,8
1445,8/15/16,Buttercups,ECOMMERCE,Women Intimate Wear eTailer,Bangalore,"ANAND CHANDRASEKARAN, KANWALJIT SINGH, MANOJ VARGHESE",Seed Funding,,,2016,8,15
1446,8/16/16,Zappfresh,ECOMMERCE,Raw Meat Products eTailer,Gurgaon,ASHVIN CHADHA,Seed Funding,,,2016,8,16
1447,8/16/16,OyoRooms,CONSUMER INTERNET,Budget Hotels Aggregator,New Delhi,SOFTBANK GROUP,Private Equity,62000000,,2016,8,16
1448,8/16/16,Hike,CONSUMER INTERNET,Mobile Messaging App,New Delhi,"TENCENT HOLDINGS, FOXCONN TECHNOLOGY GROUP, TIGER GLOBAL, SOFTBANK GROUP, BHARTI ENTERPRISES",Private Equity,175000000,,2016,8,16
1449,8/16/16,Joolz,ECOMMERCE,Online Jewellery Store,Mumbai,"POWERHOUSE VENTURES, M&S PARTNERS",Private Equity,500000,,2016,8,16
1450,8/16/16,SaleBhai,ECOMMERCE,"Sweets, Dry Fruits,Handicrafts etailer",Ahmedabad,BRAND CAPITAL,Private Equity,1500000,,2016,8,16
1451,8/16/16,Makkajai,TECHNOLOGY,"Online,Mobile learning for kids",Pune,"ANAND CHANDRASEKARAN, ANANTH NARAYANAN, MEKIN MAHESHWARI, RAVI GARIKIPATI, DIVYESH SHAH, SWASTIKA COMPANY LTD",Seed Funding,250000,,2016,8,16
1452,8/16/16,Gradopedia,CONSUMER INTERNET,Career progression Portal,Mumbai,UNDISCLOSED DUBAI BASED HNIS,Seed Funding,,,2016,8,16
1453,8/17/16,MaalGaadi,LOGISTICS,Online Logistics Marketplace,Indore,"SWAN ANGEL NETWORK,SACHIN KHANDELWAL,OTHERS",Seed Funding,375000,,2016,8,17
1454,8/17/16,ZiPi,TECHNOLOGY,Mobile Chatbot App,Bangalore,SWAN ANGEL NETWORK,Seed Funding,,,2016,8,17
1455,8/17/16,Appknox,TECHNOLOGY,Mobile security solutions,Bangalore,"SEEDPLUS, INFOCOMM INVESTMENTS, ACCEL PARTNERS RNT ASSOCIATES",Private Equity,675000,,2016,8,17
1456,8/17/16,Pikkol,LOGISTICS,"Packers,Movers",Bangalore,INDIAN ANGEL NETWORK,Seed Funding,,,2016,8,17
1457,8/18/16,Meesho,ECOMMERCE,Mobile based eCommerce SAAS platform,Bangalore,"KASHYAP DEORAH, RAJUL GARG, MANINDER GULATI",Seed Funding,,,2016,8,18
1458,8/18/16,Sesame Software,TECHNOLOGY,Financial Technology Solutions Provider,Kozhikode,SPERIDIAN TECHNOLOGIES,Private Equity,,,2016,8,18
1459,8/19/16,Quikr,CONSUMER INTERNET,Classified Listings platform,Mumbai,BRAND CAPITAL,Private Equity,20000000,,2016,8,19
